[WF] ALGO=gwo WINDOW=Y2 RUN=17 at Thu Jun  4 01:02:36 AM +03 2026
[2026-06-04 01:02:39] [WF] [INFO] Tek kosu: gwo/Y2/run_017, seed=42017
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] [WALK-FORWARD] Veri penceresi: [7344:16104] (8760 saat)
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] DB: walk_forward_runs/gwo_Y2/run_017/gwo_running.db
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] Seed: 42017
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-04 01:03:10] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-04 01:03:10] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 42017 | Pop: 40 | MaxIter: 50
[2026-06-04 01:03:10] [OPT.GWO] [INFO] ============================================================
[2026-06-04 01:03:10] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-04 01:03:10] [OPT.GWO] [INFO] ============================================================
[2026-06-04 01:03:10] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 42017 | Mode: joint
[2026-06-04 01:03:10] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-04 01:03:10] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 0 (I) | wavelet=db6 | level=3 | mode=zero | look_back=64 | hidden=102 | layers=4 | dropout=0.163 | lr=0.00754 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 1 (I) | wavelet=coif5 | level=4 | mode=zero | look_back=30 | hidden=57 | layers=3 | dropout=0.352 | lr=0.00199 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 2 (I) | wavelet=sym6 | level=6 | mode=zero | look_back=83 | hidden=254 | layers=4 | dropout=0.486 | lr=0.00272 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 3 (I) | wavelet=coif4 | level=4 | mode=zero | look_back=72 | hidden=218 | layers=2 | dropout=0.254 | lr=0.00505 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 4 (I) | wavelet=sym6 | level=4 | mode=periodization | look_back=36 | hidden=74 | layers=1 | dropout=0.489 | lr=0.00032 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 5 (I) | wavelet=sym7 | level=6 | mode=zero | look_back=53 | hidden=134 | layers=1 | dropout=0.281 | lr=0.00666 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 6 (I) | wavelet=coif4 | level=5 | mode=zero | look_back=77 | hidden=214 | layers=1 | dropout=0.329 | lr=0.00011 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 7 (I) | wavelet=sym7 | level=6 | mode=symmetric | look_back=38 | hidden=249 | layers=2 | dropout=0.330 | lr=0.00914 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 8 (I) | wavelet=sym6 | level=5 | mode=symmetric | look_back=32 | hidden=211 | layers=4 | dropout=0.470 | lr=0.00297 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 9 (I) | wavelet=db5 | level=6 | mode=symmetric | look_back=51 | hidden=208 | layers=1 | dropout=0.025 | lr=0.00025 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 11 (I) | wavelet=coif4 | level=7 | mode=periodization | look_back=60 | hidden=245 | layers=3 | dropout=0.297 | lr=0.00079 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 13 (I) | wavelet=coif4 | level=5 | mode=periodization | look_back=62 | hidden=227 | layers=2 | dropout=0.481 | lr=0.00113 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 10 (I) | wavelet=coif5 | level=4 | mode=symmetric | look_back=43 | hidden=172 | layers=2 | dropout=0.419 | lr=0.00084 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 12 (I) | wavelet=coif4 | level=6 | mode=periodization | look_back=91 | hidden=250 | layers=4 | dropout=0.463 | lr=0.00934 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 14 (I) | wavelet=coif3 | level=7 | mode=zero | look_back=64 | hidden=246 | layers=2 | dropout=0.114 | lr=0.00301 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 15 (I) | wavelet=coif4 | level=5 | mode=periodization | look_back=80 | hidden=192 | layers=4 | dropout=0.114 | lr=0.00165 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 16 (I) | wavelet=db5 | level=7 | mode=zero | look_back=32 | hidden=235 | layers=1 | dropout=0.496 | lr=0.00011 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 17 (I) | wavelet=db8 | level=7 | mode=symmetric | look_back=27 | hidden=165 | layers=1 | dropout=0.145 | lr=0.00246 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 18 (I) | wavelet=sym5 | level=4 | mode=zero | look_back=56 | hidden=205 | layers=2 | dropout=0.008 | lr=0.00583 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 19 (I) | wavelet=db5 | level=3 | mode=symmetric | look_back=70 | hidden=211 | layers=4 | dropout=0.070 | lr=0.00044 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 20 (I) | wavelet=coif4 | level=7 | mode=zero | look_back=76 | hidden=158 | layers=1 | dropout=0.313 | lr=0.00027 | batch=128 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 21 (I) | wavelet=sym5 | level=7 | mode=zero | look_back=68 | hidden=246 | layers=3 | dropout=0.031 | lr=0.00012 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 22 (I) | wavelet=coif5 | level=3 | mode=periodization | look_back=62 | hidden=183 | layers=4 | dropout=0.448 | lr=0.00204 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 23 (I) | wavelet=coif5 | level=6 | mode=periodization | look_back=40 | hidden=167 | layers=1 | dropout=0.405 | lr=0.00054 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 24 (I) | wavelet=db7 | level=6 | mode=symmetric | look_back=38 | hidden=74 | layers=1 | dropout=0.284 | lr=0.00043 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 25 (I) | wavelet=coif3 | level=4 | mode=periodization | look_back=69 | hidden=249 | layers=4 | dropout=0.405 | lr=0.00351 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 26 (I) | wavelet=db4 | level=5 | mode=zero | look_back=56 | hidden=37 | layers=1 | dropout=0.074 | lr=0.00049 | batch=32 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 27 (I) | wavelet=db8 | level=4 | mode=symmetric | look_back=42 | hidden=199 | layers=4 | dropout=0.312 | lr=0.00580 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 28 (I) | wavelet=db5 | level=3 | mode=periodization | look_back=39 | hidden=136 | layers=3 | dropout=0.364 | lr=0.00012 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 29 (I) | wavelet=db8 | level=4 | mode=zero | look_back=66 | hidden=168 | layers=3 | dropout=0.032 | lr=0.00372 | batch=64 | ablation[dwt=True, bi=True]
[2026-06-04 01:03:19] [INFO]  i:T-0 | ind 30 (I) | wavelet=sym7 | level=4 | mode=symmetric | look_back=82 | hidden=77 | layers=2 | dropout=0.016 | lr=0.00012 | batch=32 | ablation[dwt=True, bi=True]
